Arquivo,Algoritmo,Tamanho da memória,Tamanho da página,Page faults,Páginas escritas,Tempo de execução,Teste
matriz.log,LRU,4096,4,2803,789,22.821s,primeiro_teste
matriz.log,LRU,8192,4,2577,260,26.238s,primeiro_teste
matriz.log,LRU,16384,4,2543,0,40.050s,primeiro_teste
compilador.log,LRU,128,4,84401,11737,18.205s,primeiro_teste
compilador.log,LRU,256,4,59089,8863,17.673s,primeiro_teste
compilador.log,LRU,512,4,40821,6131,18.396s,primeiro_teste
compilador.log,LRU,1024,4,25308,4231,16.108s,primeiro_teste
compilador.log,LRU,2048,4,10425,2173,20.250s,primeiro_teste
compilador.log,LRU,4096,4,4391,955,21.598s,primeiro_teste
compilador.log,LRU,8192,4,2904,427,26.800s,primeiro_teste
compilador.log,LRU,16384,4,2852,0,39.268s,primeiro_teste
simulador.log,LRU,128,4,67747,13730,19.643s,primeiro_teste
simulador.log,LRU,256,4,41186,9672,17.840s,primeiro_teste
simulador.log,LRU,512,4,21090,6526,21.073s,primeiro_teste
simulador.log,LRU,1024,4,11240,4092,20.866s,primeiro_teste
simulador.log,LRU,2048,4,5823,2444,19.147s,primeiro_teste
simulador.log,LRU,4096,4,4468,1846,20.179s,primeiro_teste
simulador.log,LRU,8192,4,3951,1356,26.227s,primeiro_teste
simulador.log,LRU,16384,4,3890,0,40.732s,primeiro_teste
compressor.log,Random,128,4,2569,849,16.899s,primeiro_teste
compressor.log,Random,256,4,1596,539,16.494s,primeiro_teste
compressor.log,Random,512,4,949,321,17.050s,primeiro_teste
compressor.log,Random,1024,4,424,70,18.710s,primeiro_teste
compressor.log,Random,2048,4,317,0,21.808s,primeiro_teste
compressor.log,Random,4096,4,317,0,23.574s,primeiro_teste
compressor.log,Random,8192,4,317,0,27.171s,primeiro_teste
compressor.log,Random,16384,4,317,0,40.925s,primeiro_teste
matriz.log,Random,128,4,83549,18345,15.296s,primeiro_teste
matriz.log,Random,256,4,35552,8517,16.021s,primeiro_teste
matriz.log,Random,512,4,18199,5100,16.626s,primeiro_teste
matriz.log,Random,1024,4,9384,2950,17.832s,primeiro_teste
matriz.log,Random,2048,4,5174,1747,20.318s,primeiro_teste
matriz.log,Random,4096,4,3440,1014,23.739s,primeiro_teste
matriz.log,Random,8192,4,2674,278,25.185s,primeiro_teste
matriz.log,Random,16384,4,2543,0,35.700s,primeiro_teste
compilador.log,Random,128,4,106655,17065,16.643s,primeiro_teste
compilador.log,Random,256,4,75313,12324,18.886s,primeiro_teste
compilador.log,Random,512,4,51306,8575,26.355s,primeiro_teste
compilador.log,Random,1024,4,32062,5745,17.806s,primeiro_teste
compilador.log,Random,2048,4,16190,3384,19.196s,primeiro_teste
compilador.log,Random,4096,4,7191,1722,20.378s,primeiro_teste
compilador.log,Random,8192,4,3441,518,27.652s,primeiro_teste
compilador.log,Random,16384,4,2852,0,38.393s,primeiro_teste
simulador.log,Random,128,4,88247,19479,16.993s,primeiro_teste
simulador.log,Random,256,4,52025,12805,18.239s,primeiro_teste
simulador.log,Random,512,4,29231,8508,16.384s,primeiro_teste
simulador.log,Random,1024,4,15715,5465,19.102s,primeiro_teste
simulador.log,Random,2048,4,8826,3494,18.527s,primeiro_teste
simulador.log,Random,4096,4,5849,2398,23.456s,primeiro_teste
simulador.log,Random,8192,4,4499,1372,24.163s,primeiro_teste
simulador.log,Random,16384,4,3890,0,40.998s,primeiro_teste
